iter	Passed	Remaining
472	714	796
473	716	794
474	717	793
475	718	791
476	720	789
477	721	788
478	722	786
479	724	784
480	725	782
481	726	781
482	728	779
483	730	778
484	731	776
485	732	775
486	734	773
487	735	771
488	736	770
489	738	769
490	740	767
491	741	766
492	743	764
493	744	762
494	746	761
495	747	759
496	748	757
497	750	756
498	751	754
499	752	752
500	754	751
501	755	749
502	757	748
503	758	746
504	759	744
505	761	743
506	762	741
507	763	739
508	765	738
509	766	736
510	767	734
511	769	733
512	770	731
513	772	730
514	773	728
515	775	727
516	776	725
517	778	723
518	779	722
519	780	720
520	782	719
521	783	717
522	784	715
523	786	714
524	787	712
525	789	711
526	790	709
527	791	707
528	793	706
529	794	704
530	796	703
531	797	701
532	798	700
533	802	699
534	806	701
535	808	699
536	810	698
537	811	696
538	812	695
539	814	693
540	815	692
541	816	690
542	818	688
543	819	687
544	821	685
545	822	683
546	823	682
547	825	680
548	826	678
549	827	677
550	829	675
551	830	673
552	831	672
553	832	670
554	834	669
555	835	667
556	837	665
557	838	664
558	839	662
559	841	661
560	842	659
561	843	657
562	845	656
563	846	654
564	847	652
565	849	651
566	850	649
567	851	647
568	853	646
569	854	644
570	856	643
571	857	641
572	859	640
573	860	638
574	862	637
575	863	635
576	864	634
577	866	632
578	867	630
579	868	629
580	870	627
581	871	625
582	872	624
583	874	622
584	875	621
585	876	619
586	877	617
587	879	616
588	880	614
589	881	612
590	883	611
591	884	609
592	885	607
593	887	606
594	888	604
595	889	602
596	890	601
597	892	599
598	893	598
599	894	596
600	895	594
601	897	593
602	898	591
603	899	589
604	901	588
605	902	586
606	903	585
607	904	583
608	906	581
609	907	580
610	908	578
611	909	576
612	911	575
613	912	573
614	913	572
615	915	570
616	916	568
617	917	567
618	919	566
619	921	564
620	922	563
621	925	562
622	926	560
623	928	559
624	929	557
625	931	556
626	932	554
627	933	553
628	935	551
629	936	550
630	938	548
631	939	547
632	940	545
633	942	543
634	943	542
635	944	540
636	946	539
637	947	537
638	949	536
639	950	534
640	951	532
641	953	531
642	954	530
643	956	528
644	957	526
645	958	525
646	960	523
647	961	522
648	962	520
649	964	519
650	965	517
651	966	516
652	968	514
653	969	512
654	971	511
655	972	509
656	973	508
657	975	506
658	976	505
659	977	503
660	979	502
661	980	500
662	982	499
663	983	497
664	984	496
665	986	494
666	987	493
667	989	491
668	990	490
669	992	488
670	993	487
671	995	485
672	996	484
673	997	482
674	999	481
675	1000	479
676	1002	478
677	1003	476
678	1006	475
679	1008	474
680	1010	473
681	1011	471
682	1012	470
683	1014	468
684	1016	467
685	1017	465
686	1019	464
687	1020	462
688	1022	461
689	1023	459
690	1024	458
691	1025	456
692	1027	455
693	1028	453
694	1030	452
695	1031	450
696	1032	449
697	1034	447
698	1035	445
699	1036	444
700	1038	442
701	1039	441
702	1041	439
703	1042	438
704	1044	436
705	1045	435
706	1046	433
707	1048	432
708	1049	430
709	1050	429
710	1052	427
711	1053	426
712	1054	424
713	1056	423
714	1057	421
715	1058	420
716	1060	418
717	1061	416
718	1062	415
719	1064	413
720	1065	412
721	1066	410
722	1068	409
723	1069	407
724	1070	406
725	1072	404
726	1073	403
727	1074	401
728	1076	400
729	1077	398
730	1078	397
731	1080	395
732	1081	393
733	1082	392
734	1084	390
735	1085	389
736	1086	387
737	1088	386
738	1089	384
739	1090	383
740	1092	381
741	1093	380
742	1094	378
743	1096	377
744	1097	375
745	1098	374
746	1100	372
747	1102	371
748	1104	370
749	1105	368
750	1107	367
751	1108	365
752	1110	364
753	1111	362
754	1113	361
755	1114	359
756	1115	358
757	1117	356
758	1118	355
759	1119	353
760	1121	352
761	1122	350
762	1124	349
763	1125	347
764	1126	346
765	1128	344
766	1129	343
767	1130	341
768	1132	340
769	1133	338
770	1135	337
771	1136	335
772	1137	334
773	1139	332
774	1140	331
775	1142	329
776	1143	328
777	1144	326
778	1146	325
779	1147	323
780	1148	322
781	1150	320
782	1151	319
783	1152	317
784	1154	316
785	1155	314
786	1156	313
787	1158	311
788	1159	310
789	1161	308
790	1162	307
791	1164	305
792	1165	304
793	1167	302
794	1168	301
795	1169	299
796	1171	298
797	1172	296
798	1173	295
799	1175	293
800	1176	292
801	1177	290
802	1178	289
803	1180	287
804	1181	286
805	1183	284
806	1184	283
807	1185	281
808	1187	280
809	1188	278
810	1190	277
811	1191	275
812	1192	274
813	1194	272
814	1195	271
815	1197	269
816	1199	268
817	1201	267
818	1203	265
819	1205	264
820	1206	263
821	1207	261
822	1209	260
823	1211	258
824	1212	257
825	1213	255
826	1215	254
827	1216	252
