iter	RMSE
141	0.3164185055
142	0.3161358948
143	0.315671629
144	0.3151938204
145	0.3151776179
146	0.3145845274
147	0.3142473828
148	0.3137699172
149	0.3127476088
150	0.3121716479
151	0.3115864001
152	0.3107494263
153	0.3102308092
154	0.3096046002
155	0.309149027
156	0.3088229768
157	0.3082883483
158	0.3076539013
159	0.3071638096
160	0.3067499968
161	0.3063275659
162	0.3059780857
163	0.3052593184
164	0.3048352978
165	0.3045522933
166	0.3038330462
167	0.3031798565
168	0.3029307083
169	0.3023877704
170	0.3020208448
171	0.3018417075
172	0.3015103071
173	0.3011470132
174	0.3007410783
175	0.3001314042
176	0.2997489951
177	0.2993549851
178	0.2989215981
179	0.2987296094
180	0.2984416094
181	0.2979285674
182	0.2975656708
183	0.2973056844
184	0.2969368102
185	0.2964199822
186	0.2960089094
187	0.2956070315
188	0.2950001909
189	0.2946572876
190	0.2943644865
191	0.2937739758
192	0.2931954544
193	0.2927109934
194	0.2923053853
195	0.2916843346
196	0.29138789
197	0.2909650363
198	0.2905755691
199	0.2901871341
200	0.2898975979
201	0.2894791855
202	0.2890589942
203	0.288443696
204	0.2878626437
205	0.2876190604
206	0.2873105335
207	0.2872012752
208	0.2869641415
209	0.2864743855
210	0.2860278126
211	0.2856228409
212	0.2850670728
213	0.2844454296
214	0.2838802319
215	0.2835527846
216	0.2833436283
217	0.2830008634
218	0.2825062698
219	0.282166852
220	0.2817957707
221	0.2812861818
222	0.2809404025
223	0.2803951231
224	0.2799621378
225	0.2795338534
226	0.2791879157
227	0.2786551236
228	0.2783870722
229	0.2781104584
230	0.2777064312
231	0.2773837613
232	0.2771253506
233	0.2766216084
234	0.2761972728
235	0.2758725116
236	0.2753347701
237	0.2752081129
238	0.2746218087
239	0.2742143394
240	0.2740265954
241	0.2733643294
242	0.2726986022
243	0.2723732423
244	0.2717560226
245	0.2713233698
246	0.2709377325
247	0.2704765012
248	0.2700770086
249	0.269270217
250	0.2690455448
251	0.2689284329
252	0.2683235529
253	0.2677903293
254	0.2671958005
255	0.2666291626
256	0.2660232539
257	0.2656177171
258	0.2650662462
259	0.2646358587
260	0.2640710848
261	0.2639339616
262	0.2635846087
263	0.2632942088
264	0.2630679568
265	0.2624932949
266	0.2621897357
267	0.2617833675
268	0.2616719747
269	0.2614157324
270	0.2611695084
271	0.2606406958
272	0.2601137466
273	0.2599951799
274	0.2595473146
275	0.2590521651
276	0.2585784178
277	0.2583436835
278	0.2578083382
279	0.2576878078
280	0.2572514496
281	0.2567035432
282	0.2562015041
283	0.2557592221
284	0.2551672447
285	0.2547933373
286	0.2546826924
287	0.2545342221
288	0.2538718115
289	0.2536473569
290	0.2532703865
291	0.2532014684
292	0.2531071343
293	0.253052556
294	0.2527329633
295	0.2524111629
296	0.2520121311
297	0.251615355
298	0.2511225034
299	0.2507649312
300	0.2502078524
301	0.2501041264
302	0.2495634739
303	0.2494692592
304	0.2491955986
305	0.2491107223
306	0.2487233673
307	0.2486335398
308	0.2481516117
309	0.2478026979
310	0.247435624
311	0.2472775821
312	0.2468466211
313	0.2463766273
314	0.2462550688
315	0.2459182112
316	0.2457784184
317	0.2453494814
318	0.2450351243
319	0.2447087009
320	0.2445627225
321	0.2442495857
322	0.2438772681
323	0.2436473526
324	0.2435105098
325	0.2430166681
326	0.2426741662
327	0.2424754189
328	0.2420821618
329	0.2415227783
330	0.2410829895
331	0.2407504584
332	0.240674289
333	0.2404253395
334	0.2400401827
335	0.2396617933
336	0.2393236883
337	0.2388872552
338	0.2385878852
339	0.2384665292
340	0.2384127765
341	0.2380842436
342	0.2376111919
343	0.2372984032
344	0.2369133656
345	0.2364688196
346	0.2363394817
347	0.2360013284
348	0.2354546922
349	0.2353932273
350	0.2353212067
351	0.2348738511
352	0.2343781438
353	0.2340781662
354	0.2339868823
355	0.2338544029
356	0.2337792622
357	0.2333247812
358	0.2332623551
359	0.2331603561
360	0.2327828755
361	0.2324461677
362	0.2320475378
363	0.2315633181
364	0.2312896902
365	0.2312310362
366	0.230893649
367	0.230616904
368	0.2301920842
369	0.2299177842
370	0.2298327455
371	0.2297599301
372	0.229448639
373	0.2291250269
374	0.228680338
375	0.2281273694
376	0.2278780962
377	0.2275193557
378	0.2272414225
379	0.2267603191
380	0.2264708843
381	0.2259176078
382	0.2254038521
383	0.2252992679
384	0.224845158
385	0.2247961576
386	0.2247054613
387	0.2244366807
388	0.2240077208
389	0.2239649495
390	0.2236572472
391	0.2233206064
392	0.2230362206
393	0.222850883
394	0.2227262681
395	0.2226451409
396	0.2223991654
397	0.2223037767
398	0.2221730955
399	0.2216672178
400	0.2214051343
401	0.2210450638
402	0.2207375535
403	0.2206244691
404	0.2202250733
405	0.2201355773
406	0.2199337791
407	0.2197625241
408	0.2196588218
409	0.2193186444
410	0.2192530811
411	0.2190944675
412	0.2190009765
413	0.218511307
414	0.218271816
415	0.2178153794
416	0.2173655542
417	0.2170599083
418	0.216755335
419	0.2163939886
420	0.21630813
421	0.2159630559
422	0.2156934205
423	0.2154227319
424	0.2152866943
425	0.2150593013
426	0.2149161138
427	0.2146872917
428	0.2142717188
429	0.213943571
430	0.2137363853
431	0.2135900219
432	0.2133592398
433	0.2133233753
434	0.2129721229
435	0.2127336592
436	0.2123694535
437	0.2120638111
438	0.2118879777
439	0.2118101164
440	0.2115594958
441	0.2112864294
442	0.2110993892
443	0.2107259565
444	0.2104715467
445	0.2102366086
446	0.2099735362
447	0.2094923338
448	0.2093890602
449	0.209011268
450	0.2089144113
451	0.2084599348
452	0.2082031761
453	0.2078651819
454	0.207629569
455	0.2073362032
456	0.2072694618
457	0.2070277804
458	0.2067290043
459	0.2065243524
460	0.2062859244
461	0.2058368296
462	0.2054861278
463	0.2053077123
464	0.2052203367
465	0.205151618
466	0.2048865866
467	0.2047765619
468	0.2044898402
469	0.2042929488
470	0.2040722725
471	0.2039360012
472	0.2035970428
473	0.2033488229
474	0.2032044436
475	0.2029155748
476	0.2023798934
477	0.2022625908
478	0.2020659304
479	0.2018483577
480	0.201784152
481	0.201535942
482	0.2012078383
483	0.2008955416
484	0.2006033874
485	0.2003386307
486	0.2002727296
487	0.2001286387
488	0.1999272603
489	0.1995723364
490	0.1992801415
491	0.1990085332
492	0.1987659545
493	0.1984499776
494	0.198059132
495	0.1976238729
496	0.1974137606
497	0.1968995396
498	0.1965911353
499	0.1962601306
500	0.1958777159
501	0.1956460921
502	0.1953221763
503	0.1951377788
504	0.1947947089
505	0.1945135649
506	0.1943734032
507	0.1942638324
508	0.1940135946
509	0.1937319418
510	0.1934768749
511	0.1931300547
512	0.1927101741
513	0.1923975666
514	0.1922788869
515	0.1920435135
516	0.1919253916
517	0.1916179036
518	0.1913443291
519	0.1910389528
520	0.1904860822
521	0.1901085179
522	0.1900698766
523	0.1897566693
524	0.1894438297
525	0.1891992184
526	0.1889046929
527	0.1886044144
528	0.1882545312
529	0.1881548148
530	0.1880407056
531	0.1878849928
532	0.1874486972
533	0.1872525884
534	0.1869569667
535	0.1866329163
536	0.1863839392
537	0.1860523307
538	0.1856285432
539	0.1853322162
540	0.1850429143
541	0.1848493607
542	0.1846431977
543	0.1843975551
544	0.184180023
545	0.1837850682
546	0.1836057448
547	0.183370064
548	0.1829934941
549	0.1828888536
550	0.1824866204
551	0.1820372193
552	0.1818036981
553	0.1816528712
554	0.1813165751
555	0.1812387845
556	0.1809509681
557	0.1808304938
558	0.1807406912
559	0.1805040441
560	0.180326054
561	0.1800776767
562	0.1799318306
563	0.1798189959
564	0.1795833153
565	0.1793672482
566	0.1791443994
567	0.1789570101
568	0.1787877319
569	0.1787005235
570	0.178568868
571	0.1782546804
572	0.1781689698
573	0.1779403178
574	0.1777309574
575	0.1775978963
576	0.1772437777
577	0.177048029
578	0.1768204628
579	0.1765581266
580	0.1763428994
581	0.1761766994
582	0.1759222341
583	0.1757243073
584	0.1754938975
585	0.1753370877
586	0.1751235598
587	0.1749088906
588	0.1746652276
589	0.1744487895
590	0.1740922613
591	0.1738669473
592	0.1736662823
593	0.1734284412
594	0.1731396318
595	0.1728665962
596	0.172573005
597	0.1722830718
598	0.1721273644
599	0.1719270623
600	0.1717810728
601	0.171549428
602	0.1713007485
603	0.171145337
604	0.170888822
605	0.1708090564
606	0.1705462974
607	0.170433226
608	0.1703234133
609	0.1699653513
610	0.1697955965
611	0.1695136972
612	0.1691964891
613	0.1690564448
614	0.1688910327
615	0.1686087995
616	0.1683013702
617	0.1680841204
618	0.1678435743
619	0.167710155
620	0.1675564388
621	0.1673546505
622	0.167299424
623	0.1672431243
624	0.1670256284
625	0.1667264418
626	0.1664317603
627	0.1661876547
628	0.166163241
629	0.1659969531
630	0.1657414639
631	0.1653524607
632	0.1651462993
633	0.1649854089
634	0.1649095013
635	0.164603968
636	0.1643639545
637	0.1642364555
638	0.164086662
639	0.1639844482
640	0.1637967449
641	0.1635452953
642	0.1634743625
643	0.1633326204
644	0.1632315791
645	0.1628777084
646	0.1626752769
647	0.1625366552
648	0.1624070431
649	0.1623737469
650	0.1620812612
651	0.1618848719
652	0.1617966865
653	0.161607362
654	0.1614457356
655	0.1611812539
656	0.16094956
657	0.1607178831
658	0.1604714107
659	0.1604447838
660	0.1602784293
661	0.1600809622
662	0.15999159
663	0.1598218525
664	0.1596895318
665	0.1595966395
666	0.1595490651
667	0.1594121296
668	0.1592404326
669	0.1590199461
670	0.1587883424
671	0.15864385
672	0.1585428106
673	0.1584767149
674	0.1583829549
675	0.158221532
676	0.1581246767
677	0.1579509886
678	0.1578057335
679	0.1577392875
680	0.1574611722
681	0.1572831805
682	0.1572583295
683	0.1570170045
684	0.1569036893
685	0.1568507139
686	0.1568184127
687	0.1567449783
688	0.1565017216
689	0.156413765
690	0.1563169023
691	0.156277951
692	0.1560285502
693	0.1557880493
694	0.1554571754
695	0.1552800756
696	0.1551605704
697	0.1550322327
698	0.1547328331
699	0.1545093182
700	0.1543605048
701	0.1539783627
702	0.1537099825
703	0.1535010924
704	0.1534788425
705	0.1532432832
706	0.1530614975
707	0.1530505696
708	0.1529309489
709	0.152700283
710	0.1524736131
711	0.1522984311
712	0.1522670058
713	0.1520905034
714	0.1519918955
715	0.1517748632
716	0.1515620017
717	0.1514897147
718	0.1512652614
719	0.1510114925
720	0.150966843
721	0.1508381846
722	0.1505858075
723	0.1503220511
724	0.1501628618
725	0.150129919
726	0.1499077009
727	0.1495983852
728	0.1493809078
729	0.1492516203
730	0.1490861946
731	0.1487868746
732	0.1486517834
733	0.1483632532
734	0.1481615219
735	0.1479620206
736	0.1478531643
737	0.1476178756
738	0.1475254532
739	0.1473302715
740	0.1472371426
741	0.1471203681
742	0.1470348612
743	0.1468177017
744	0.1466756717
745	0.146558256
746	0.1463129268
747	0.1461437232
748	0.1458982344
749	0.145737539
750	0.1454429843
751	0.1451771792
752	0.1450029251
753	0.1449122846
754	0.1446584419
755	0.1445529883
756	0.1442551841
757	0.14401303
758	0.1439717338
759	0.1438378442
760	0.1436620815
761	0.1435664474
762	0.1434043048
763	0.1433629814
764	0.1431276851
765	0.1428671606
766	0.1427477121
767	0.1425706602
768	0.1423325183
769	0.1421901707
770	0.1421068077
771	0.1419500678
772	0.1417556614
773	0.1417139034
774	0.141629976
775	0.1414443487
776	0.141210352
777	0.1409760718
778	0.1409049962
779	0.140611961
780	0.1404480667
781	0.1402242131
782	0.1400485294
783	0.1398120932
784	0.1395821464
785	0.1394275704
786	0.1393562392
787	0.1391637373
788	0.1389067316
789	0.1387895016
790	0.1387217555
791	0.1385993286
792	0.1384139708
793	0.1383847444
794	0.1382704097
795	0.1381322147
796	0.1380366677
797	0.1377848846
798	0.1375675454
799	0.1372878214
800	0.1372093771
801	0.1369848084
802	0.136768138
803	0.1365525352
804	0.1363696061
805	0.1362958937
806	0.136149951
807	0.1360240725
808	0.1358949698
809	0.1357553265
810	0.1356335973
811	0.1354873854
812	0.1353927786
813	0.1352737856
814	0.1352464894
815	0.13506407
816	0.1348323849
817	0.1347208974
818	0.1344589778
819	0.1343140241
820	0.1341101115
821	0.1339418659
822	0.1336723203
823	0.1334397099
824	0.1333073133
825	0.1332046755
826	0.1331201031
827	0.1330089674
828	0.1327693524
829	0.1327148755
830	0.1324566944
831	0.1321456889
832	0.1319202494
833	0.1316815627
834	0.1315922127
835	0.1314638431
836	0.1313192061
837	0.1312067623
838	0.1311053176
839	0.1309854349
840	0.1308329878
841	0.1306704701
842	0.1305688094
843	0.1304058537
844	0.1302334928
845	0.1300933269
846	0.1300152855
847	0.1298549112
848	0.1296344041
849	0.1295268826
850	0.1293288005
851	0.1292429805
852	0.1290968336
853	0.1288309221
854	0.1287695157
855	0.1286280143
856	0.1283591368
857	0.1281605679
858	0.1280198563
859	0.1278552548
860	0.1277391629
861	0.1276772611
862	0.1276181187
863	0.1275123116
864	0.1273426923
865	0.1272315623
866	0.1271784634
867	0.127007193
868	0.1268623008
869	0.1266012714
870	0.1264789879
871	0.1262721502
872	0.1261192483
873	0.1259320338
874	0.1257482877
875	0.1257107182
876	0.1255021725
877	0.1253200119
878	0.1251193037
879	0.1249813527
880	0.1249437672
881	0.1248196877
882	0.1246686457
883	0.1244879024
884	0.124306582
885	0.1242624727
886	0.1241167861
887	0.124071456
888	0.1238286779
889	0.1237094073
890	0.1236039729
891	0.1234670568
892	0.1234648892
893	0.1233033213
894	0.1230868771
895	0.1229219773
896	0.1226998228
897	0.122632162
898	0.1224689195
899	0.122283112
900	0.1222216245
901	0.1220743511
902	0.1219441101
903	0.1218212672
904	0.121673608
905	0.1215589736
906	0.1214148021
907	0.1212339888
908	0.1210789723
909	0.1210442055
910	0.1209568102
911	0.1208422599
912	0.1206664208
913	0.1205352777
914	0.1204059617
915	0.1202810619
916	0.120072757
917	0.1199305364
918	0.1198544529
919	0.1196856584
920	0.1195474495
921	0.1194109213
922	0.1193219083
923	0.1192460844
924	0.1190659039
925	0.1188677248
926	0.1187767143
927	0.1186706455
928	0.1186432644
929	0.1185248121
930	0.1184876806
931	0.1183847317
932	0.1183096311
933	0.1181922912
934	0.1180291073
935	0.1178760165
936	0.1178141764
937	0.1176517209
938	0.1175200257
939	0.1173841102
940	0.1172897443
941	0.1172619665
942	0.117143043
943	0.1170589169
944	0.1169180471
945	0.1168234061
946	0.1166960966
947	0.1166135491
948	0.1164947691
949	0.1162670924
950	0.1161428204
951	0.1160743313
952	0.1159615113
953	0.1158099594
954	0.1156367592
955	0.115478703
956	0.1153285672
957	0.1151682073
958	0.1150615225
959	0.115008786
960	0.114785567
961	0.1146977407
962	0.1145302514
963	0.114428803
964	0.1143972295
965	0.1141997105
966	0.1141005177
967	0.1140240556
968	0.113878534
969	0.1137930827
970	0.1136938526
971	0.1135545387
972	0.1133697829
973	0.1132085673
974	0.1131061279
975	0.1129780478
976	0.1128843239
977	0.1127970358
978	0.112659366
979	0.1124738956
980	0.1123393164
981	0.1122288178
982	0.1121667238
983	0.1120244403
984	0.1118884006
985	0.1118170402
986	0.1116631496
987	0.1115344871
988	0.1113187678
989	0.1111474427
990	0.1111136568
991	0.1109458257
992	0.110773383
993	0.1107271743
994	0.1107080876
995	0.1105423673
996	0.1103372835
997	0.1102414495
998	0.1101046533
999	0.109945434
